chid	chemical_name	measure	yes_no
20119	Azathioprine	androsteinedione	no
20119	Azathioprine	deoxycortisone	yes
20119	Azathioprine	progesterone	yes
24930	"3,4-Diaminotoluene"	hydroxypregnenolone	yes
24930	"3,4-Diaminotoluene"	hydroxyprogesteroneesterone	yes
24930	"3,4-Diaminotoluene"	deoxycortisone	yes
24930	"3,4-Diaminotoluene"	estradiol	yes
24930	"3,4-Diaminotoluene"	estrone	yes
24930	"3,4-Diaminotoluene"	progesterone	yes
47553	Perfluoroundecanoic acid	estrone	yes
47267	CP-642931	hydroxyprogesteroneesterone	yes
47267	CP-642931	deoxycortisone	yes
47267	CP-642931	estrone	yes
47282	CP-671305	hydroxypregnenolone	yes
47282	CP-671305	cortisol	yes
47282	CP-671305	estradiol	yes
47282	CP-671305	estrone	yes
47283	CP-728663	androsteinedione	no
47283	CP-728663	deoxycortisone	yes
47283	CP-728663	estradiol	no
47283	CP-728663	estrone	no
47283	CP-728663	testosterone	no
47258	Enadoline	cortisol	no
22174	EPN	deoxycortisol	no
22174	EPN	hydroxyprogesteroneesterone	yes
22174	EPN	androsteinedione	no
22174	EPN	cortisol	no
22174	EPN	estrone	yes
22174	EPN	progesterone	yes
20268	Chlorendic acid	deoxycortisone	yes
23581	Simvastatin	deoxycortisol	no
23581	Simvastatin	hydroxyprogesteroneesterone	no
23581	Simvastatin	androsteinedione	no
23581	Simvastatin	cortisol	no
23581	Simvastatin	testosterone	no
21869	p-Cresol	hydroxyprogesteroneesterone	yes
21869	p-Cresol	deoxycortisone	yes
21869	p-Cresol	estradiol	yes
21869	p-Cresol	estrone	yes
21869	p-Cresol	progesterone	yes
27397	"Sorbitan, mono-(9Z)-9-octadecenoate"	deoxycortisone	yes
27397	"Sorbitan, mono-(9Z)-9-octadecenoate"	progesterone	yes
38939	PFOSA	deoxycortisol	no
38939	PFOSA	hydroxyprogesteroneesterone	no
38939	PFOSA	androsteinedione	no
38939	PFOSA	cortisol	no
38939	PFOSA	estradiol	no
38939	PFOSA	estrone	no
38939	PFOSA	testosterone	no
25438	Hydroxyurea	estrone	yes
25178	"1,3-Diphenylguanidine"	cortisol	no
25178	"1,3-Diphenylguanidine"	estradiol	yes
25178	"1,3-Diphenylguanidine"	estrone	yes
20653	Gentian Violet	hydroxyprogesteroneesterone	yes
20653	Gentian Violet	progesterone	yes
20108	Aspirin	estradiol	yes
20108	Aspirin	estrone	yes
36496	Norgestrel	hydroxypregnenolone	yes
36496	Norgestrel	cortisol	no
36496	Norgestrel	deoxycortisone	yes
36496	Norgestrel	estradiol	yes
36496	Norgestrel	estrone	yes
20877	1-Methylnaphthalene	estrone	yes
47294	CP-863187	deoxycortisone	yes
47294	CP-863187	estrone	yes
47294	CP-863187	progesterone	yes
47294	CP-863187	testosterone	no
47337	PharmaGSID_47337	hydroxypregnenolone	yes
47337	PharmaGSID_47337	hydroxyprogesteroneesterone	yes
47337	PharmaGSID_47337	cortisol	no
47337	PharmaGSID_47337	deoxycortisone	yes
47337	PharmaGSID_47337	progesterone	yes
26307	"2,6-Dimethylaniline"	testosterone	no
22332	4-(Butan-2-yl)phenol	hydroxyprogesteroneesterone	yes
22332	4-(Butan-2-yl)phenol	cortisol	yes
22332	4-(Butan-2-yl)phenol	estradiol	yes
22332	4-(Butan-2-yl)phenol	estrone	yes
29874	Fenofibrate	deoxycortisol	no
29874	Fenofibrate	testosterone	no
20392	Diallyl phthalate	estrone	yes
24999	"3,4-Dichloronitrobenzene"	estrone	yes
40707	4-Pentylaniline	hydroxyprogesteroneesterone	yes
40707	4-Pentylaniline	deoxycortisone	yes
40707	4-Pentylaniline	progesterone	yes
47252	Ingliforib	progesterone	no
22519	Folic acid	estradiol	yes
22519	Folic acid	estrone	yes
32493	Triadimenol	deoxycortisol	no
32493	Triadimenol	hydroxyprogesteroneesterone	no
32493	Triadimenol	androsteinedione	no
32493	Triadimenol	cortisol	no
32493	Triadimenol	deoxycortisone	no
32493	Triadimenol	estrone	no
32493	Triadimenol	testosterone	yes
21106	Pentachlorophenol	deoxycortisone	yes
21106	Pentachlorophenol	estradiol	yes
21106	Pentachlorophenol	estrone	yes
47271	PD 0343701	hydroxyprogesteroneesterone	yes
47271	PD 0343701	cortisol	no
47271	PD 0343701	deoxycortisone	no
21097	Oxytetracycline hydrochloride	hydroxypregnenolone	no
21097	Oxytetracycline hydrochloride	hydroxyprogesteroneesterone	no
21097	Oxytetracycline hydrochloride	estrone	yes
21097	Oxytetracycline hydrochloride	testosterone	no
22254	Terbufos	androsteinedione	no
22254	Terbufos	deoxycortisone	yes
22254	Terbufos	estrone	yes
22254	Terbufos	testosterone	no
21277	Sorbic acid	deoxycortisone	yes
20350	2-Methoxy-5-methylaniline	hydroxyprogesteroneesterone	yes
20350	2-Methoxy-5-methylaniline	cortisol	no
20350	2-Methoxy-5-methylaniline	progesterone	yes
22364	5alpha-Dihydrotestosterone	deoxycortisol	no
22364	5alpha-Dihydrotestosterone	hydroxyprogesteroneesterone	yes
22364	5alpha-Dihydrotestosterone	androsteinedione	no
22364	5alpha-Dihydrotestosterone	cortisol	no
22364	5alpha-Dihydrotestosterone	deoxycortisone	yes
22364	5alpha-Dihydrotestosterone	estradiol	no
22364	5alpha-Dihydrotestosterone	estrone	no
22364	5alpha-Dihydrotestosterone	progesterone	yes
23216	"3,5,3'-Triiodothyronine"	hydroxypregnenolone	no
47301	CP-456773	deoxycortisol	no
47301	CP-456773	hydroxyprogesteroneesterone	yes
47301	CP-456773	cortisol	no
47301	CP-456773	deoxycortisone	no
47301	CP-456773	progesterone	yes
26684	2-Benzylideneoctanal	testosterone	no
22817	Carminic acid	cortisol	no
22817	Carminic acid	deoxycortisone	yes
22817	Carminic acid	testosterone	no
22527	Propylparaben	deoxycortisol	no
22527	Propylparaben	hydroxypregnenolone	yes
22527	Propylparaben	hydroxyprogesteroneesterone	yes
22527	Propylparaben	androsteinedione	no
22527	Propylparaben	cortisol	no
22527	Propylparaben	deoxycortisone	no
22527	Propylparaben	progesterone	yes
22527	Propylparaben	testosterone	no
24523	"4-Androstene-3,17-dione"	deoxycortisol	no
24523	"4-Androstene-3,17-dione"	hydroxypregnenolone	yes
24523	"4-Androstene-3,17-dione"	hydroxyprogesteroneesterone	yes
24523	"4-Androstene-3,17-dione"	androsteinedione	yes
24523	"4-Androstene-3,17-dione"	cortisol	no
24523	"4-Androstene-3,17-dione"	deoxycortisone	no
24523	"4-Androstene-3,17-dione"	estradiol	yes
24523	"4-Androstene-3,17-dione"	estrone	yes
24523	"4-Androstene-3,17-dione"	testosterone	yes
21311	"2,4,6-Tris(tert-butyl)phenol"	hydroxypregnenolone	no
21311	"2,4,6-Tris(tert-butyl)phenol"	androsteinedione	no
21311	"2,4,6-Tris(tert-butyl)phenol"	testosterone	no
20182	Bisphenol A	androsteinedione	no
20182	Bisphenol A	deoxycortisone	yes
20182	Bisphenol A	testosterone	no
21940	1-Octanol	deoxycortisone	yes
21940	1-Octanol	testosterone	no
48167	FR900409	deoxycortisone	yes
48167	FR900409	progesterone	yes
20068	2-Aminoanthraquinone	hydroxyprogesteroneesterone	yes
20068	2-Aminoanthraquinone	cortisol	yes
20068	2-Aminoanthraquinone	deoxycortisone	yes
20068	2-Aminoanthraquinone	estradiol	yes
20068	2-Aminoanthraquinone	estrone	yes
20068	2-Aminoanthraquinone	progesterone	yes
47259	PharmaGSID_47259	deoxycortisol	no
47259	PharmaGSID_47259	hydroxyprogesteroneesterone	no
47259	PharmaGSID_47259	androsteinedione	no
47259	PharmaGSID_47259	cortisol	no
47259	PharmaGSID_47259	testosterone	no
47327	MK-578	estradiol	yes
47327	MK-578	estrone	yes
41376	Tridemorph	deoxycortisol	no
41376	Tridemorph	hydroxypregnenolone	no
41376	Tridemorph	hydroxyprogesteroneesterone	no
41376	Tridemorph	androsteinedione	no
41376	Tridemorph	deoxycortisone	no
41376	Tridemorph	testosterone	no
20528	"2,6-Dinitrotoluene"	hydroxyprogesteroneesterone	no
20528	"2,6-Dinitrotoluene"	deoxycortisone	yes
20528	"2,6-Dinitrotoluene"	testosterone	no
21864	"2,4-Dimethylphenol"	hydroxypregnenolone	yes
21864	"2,4-Dimethylphenol"	hydroxyprogesteroneesterone	yes
21864	"2,4-Dimethylphenol"	androsteinedione	no
21864	"2,4-Dimethylphenol"	deoxycortisone	yes
21864	"2,4-Dimethylphenol"	estradiol	yes
21864	"2,4-Dimethylphenol"	estrone	yes
21864	"2,4-Dimethylphenol"	progesterone	yes
48172	PharmaGSID_48172	deoxycortisol	no
48172	PharmaGSID_48172	androsteinedione	no
48172	PharmaGSID_48172	cortisol	no
48172	PharmaGSID_48172	deoxycortisone	no
48172	PharmaGSID_48172	estradiol	no
48172	PharmaGSID_48172	progesterone	no
48172	PharmaGSID_48172	testosterone	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	deoxycortisol	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	hydroxypregnenolone	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	hydroxyprogesteroneesterone	yes
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	cortisol	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	deoxycortisone	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	estrone	no
47598	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	progesterone	yes
40371	Fenaminosulf	progesterone	yes
20939	Nitrilotriacetic acid	deoxycortisone	yes
20939	Nitrilotriacetic acid	estradiol	yes
20939	Nitrilotriacetic acid	estrone	yes
25068	Dihexyl phthalate	hydroxyprogesteroneesterone	no
25068	Dihexyl phthalate	testosterone	no
22331	2-(Butan-2-yl)phenol	estradiol	yes
22331	2-(Butan-2-yl)phenol	estrone	yes
26076	Tannic acid	estradiol	no
26076	Tannic acid	estrone	no
20207	Dinoseb	deoxycortisone	yes
47535	Butyryl trihexyl citrate	hydroxyprogesteroneesterone	no
47535	Butyryl trihexyl citrate	progesterone	no
20182	Bisphenol A	androsteinedione	no
20182	Bisphenol A	deoxycortisone	yes
20182	Bisphenol A	testosterone	no
36299	"N,N-Dimethyloctylamine"	hydroxyprogesteroneesterone	no
36299	"N,N-Dimethyloctylamine"	cortisol	no
36299	"N,N-Dimethyloctylamine"	testosterone	no
47264	CP-283097	hydroxyprogesteroneesterone	no
47264	CP-283097	androsteinedione	no
47264	CP-283097	estradiol	yes
47264	CP-283097	testosterone	no
21336	Theophylline	estradiol	yes
20182	Bisphenol A	hydroxyprogesteroneesterone	no
20182	Bisphenol A	androsteinedione	no
20182	Bisphenol A	deoxycortisone	yes
20182	Bisphenol A	testosterone	no
33562	Hydroxyflutamide	hydroxyprogesteroneesterone	no
21641	Nonanoic acid	deoxycortisone	yes
21641	Nonanoic acid	testosterone	no
35180	Allethrin	deoxycortisol	no
35180	Allethrin	cortisol	no
35180	Allethrin	estradiol	no
35180	Allethrin	estrone	no
35180	Allethrin	testosterone	no
20439	"2,4-Dichlorophenol"	hydroxyprogesteroneesterone	yes
20439	"2,4-Dichlorophenol"	estradiol	yes
20439	"2,4-Dichlorophenol"	estrone	yes
20439	"2,4-Dichlorophenol"	progesterone	yes
25453	3-Methylbutyl acetate	estrone	no
20634	5-Fluorouracil	hydroxypregnenolone	no
33923	Procymidone	deoxycortisol	no
33923	Procymidone	hydroxypregnenolone	no
33923	Procymidone	hydroxyprogesteroneesterone	no
33923	Procymidone	androsteinedione	no
33923	Procymidone	deoxycortisone	yes
33923	Procymidone	testosterone	no
32459	Phorate	estradiol	yes
32459	Phorate	estrone	yes
48175	FR140423	deoxycortisol	yes
48175	FR140423	hydroxypregnenolone	yes
48175	FR140423	hydroxyprogesteroneesterone	yes
48175	FR140423	androsteinedione	yes
48175	FR140423	cortisol	yes
48175	FR140423	deoxycortisone	yes
48175	FR140423	estradiol	yes
48175	FR140423	estrone	yes
37752	Diphenyl isophthalate	hydroxypregnenolone	yes
37752	Diphenyl isophthalate	estradiol	yes
37752	Diphenyl isophthalate	estrone	yes
23652	6-Thioguanine	deoxycortisol	no
23652	6-Thioguanine	hydroxyprogesteroneesterone	no
23652	6-Thioguanine	deoxycortisone	no
25096	Dimethyl adipate	hydroxypregnenolone	yes
25096	Dimethyl adipate	cortisol	yes
25096	Dimethyl adipate	estradiol	yes
25096	Dimethyl adipate	estrone	yes
47330	PharmaGSID_47330	hydroxyprogesteroneesterone	yes
47330	PharmaGSID_47330	estradiol	yes
47330	PharmaGSID_47330	progesterone	yes
21254	Safrole	cortisol	yes
21254	Safrole	estradiol	yes
21254	Safrole	estrone	yes
32620	Hexaflumuron	hydroxyprogesteroneesterone	no
32620	Hexaflumuron	deoxycortisone	no
21137	"1,3-Benzenediamine"	hydroxyprogesteroneesterone	yes
21137	"1,3-Benzenediamine"	progesterone	yes
20537	Diphenhydramine hydrochloride	estradiol	yes
26446	Acetyl tributyl citrate	testosterone	no
22442	Bisphenol B	androsteinedione	no
22442	Bisphenol B	progesterone	yes
21125	Phenolphthalein	deoxycortisol	no
21125	Phenolphthalein	hydroxyprogesteroneesterone	yes
21125	Phenolphthalein	cortisol	no
21125	Phenolphthalein	deoxycortisone	no
21125	Phenolphthalein	progesterone	yes
25567	Methyl 2-aminobenzoate	estrone	yes
32610	Etofenprox	hydroxyprogesteroneesterone	no
32610	Etofenprox	androsteinedione	no
32610	Etofenprox	testosterone	no
42209	N-Methyldioctylamine	deoxycortisol	no
42209	N-Methyldioctylamine	hydroxypregnenolone	no
42209	N-Methyldioctylamine	hydroxyprogesteroneesterone	no
42209	N-Methyldioctylamine	androsteinedione	no
42209	N-Methyldioctylamine	progesterone	no
42209	N-Methyldioctylamine	testosterone	no
26252	Triphenyl phosphite	hydroxyprogesteroneesterone	yes
26252	Triphenyl phosphite	deoxycortisone	yes
26252	Triphenyl phosphite	estradiol	yes
26252	Triphenyl phosphite	estrone	yes
26252	Triphenyl phosphite	progesterone	yes
47333	PharmaGSID_47333	deoxycortisol	no
47333	PharmaGSID_47333	hydroxyprogesteroneesterone	no
47333	PharmaGSID_47333	cortisol	no
47333	PharmaGSID_47333	deoxycortisone	no
47333	PharmaGSID_47333	testosterone	no
21244	Rifampicin	deoxycortisone	yes
21244	Rifampicin	progesterone	yes
21832	"N,N,4-Trimethylaniline"	estradiol	yes
21515	Butanoic acid	cortisol	yes
21515	Butanoic acid	estrone	yes
25469	Isopentyl alcohol	progesterone	yes
20570	Sodium erythorbate (1:1)	cortisol	yes
20501	Methadone hydrochloride	cortisol	no
20311	Monuron	hydroxyprogesteroneesterone	no
20311	Monuron	progesterone	no
48182	Cyclohexylphenylketone	estrone	yes
47540	3-Hydroxyfluorene	deoxycortisol	no
47540	3-Hydroxyfluorene	hydroxyprogesteroneesterone	yes
47540	3-Hydroxyfluorene	androsteinedione	no
47540	3-Hydroxyfluorene	cortisol	no
47540	3-Hydroxyfluorene	deoxycortisone	yes
47540	3-Hydroxyfluorene	estradiol	yes
47540	3-Hydroxyfluorene	estrone	yes
47540	3-Hydroxyfluorene	progesterone	yes
47540	3-Hydroxyfluorene	testosterone	no
21322	Disulfiram	deoxycortisone	yes
21322	Disulfiram	progesterone	yes
37208	Diclofenac sodium	estradiol	yes
37208	Diclofenac sodium	estrone	yes
47310	Farglitazar	deoxycortisone	yes
47394	Grinstad Soft-N-Safe	cortisol	yes
23902	Benz(a)anthracene	hydroxyprogesteroneesterone	no
23902	Benz(a)anthracene	androsteinedione	no
23902	Benz(a)anthracene	cortisol	yes
23902	Benz(a)anthracene	deoxycortisone	yes
23902	Benz(a)anthracene	estradiol	yes
23902	Benz(a)anthracene	estrone	yes
23902	Benz(a)anthracene	testosterone	no
26665	3-Pyridinecarbonitrile	deoxycortisone	yes
26900	Dodecyltrimethylammonium chloride	deoxycortisol	no
26900	Dodecyltrimethylammonium chloride	hydroxyprogesteroneesterone	no
26900	Dodecyltrimethylammonium chloride	androsteinedione	no
26900	Dodecyltrimethylammonium chloride	cortisol	no
26900	Dodecyltrimethylammonium chloride	testosterone	no
48170	FR150011	hydroxyprogesteroneesterone	no
24359	"2,4,5-Trichlorophenol"	hydroxyprogesteroneesterone	yes
24359	"2,4,5-Trichlorophenol"	estradiol	yes
22370	Progesterone	deoxycortisol	yes
22370	Progesterone	hydroxypregnenolone	yes
22370	Progesterone	cortisol	yes
22370	Progesterone	deoxycortisone	yes
22370	Progesterone	progesterone	yes
40742	Triamcinolone	hydroxypregnenolone	yes
40742	Triamcinolone	hydroxyprogesteroneesterone	yes
40742	Triamcinolone	cortisol	yes
40742	Triamcinolone	deoxycortisone	yes
40742	Triamcinolone	progesterone	yes
22187	"2,3,6-Trimethylphenol"	hydroxyprogesteroneesterone	yes
22187	"2,3,6-Trimethylphenol"	progesterone	yes
34695	Mancozeb	estradiol	no
34695	Mancozeb	estrone	no
24000	Chlorthal-dimethyl	hydroxyprogesteroneesterone	no
24000	Chlorthal-dimethyl	androsteinedione	no
24000	Chlorthal-dimethyl	deoxycortisone	yes
24000	Chlorthal-dimethyl	estradiol	yes
24000	Chlorthal-dimethyl	estrone	yes
24000	Chlorthal-dimethyl	testosterone	no
20627	Fluconazole	cortisol	no
20627	Fluconazole	estradiol	no
23322	Mifepristone	deoxycortisol	no
23322	Mifepristone	hydroxypregnenolone	yes
23322	Mifepristone	hydroxyprogesteroneesterone	yes
23322	Mifepristone	cortisol	no
23322	Mifepristone	estradiol	no
23322	Mifepristone	estrone	no
23322	Mifepristone	progesterone	yes
23322	Mifepristone	testosterone	no
20576	17alpha-Ethinylestradiol	deoxycortisol	no
20576	17alpha-Ethinylestradiol	hydroxypregnenolone	yes
20576	17alpha-Ethinylestradiol	hydroxyprogesteroneesterone	no
20576	17alpha-Ethinylestradiol	androsteinedione	no
20576	17alpha-Ethinylestradiol	cortisol	no
20576	17alpha-Ethinylestradiol	deoxycortisone	no
20576	17alpha-Ethinylestradiol	testosterone	no
42416	Sodium myristyl sulfate	deoxycortisone	yes
42416	Sodium myristyl sulfate	progesterone	yes
24112	Fomesafen	testosterone	no
21961	Benzophenone	estradiol	yes
21961	Benzophenone	estrone	yes
20716	Hydroquinone	hydroxypregnenolone	yes
20716	Hydroquinone	hydroxyprogesteroneesterone	yes
20716	Hydroquinone	deoxycortisone	yes
20716	Hydroquinone	progesterone	yes
25271	N-Ethylaniline	estradiol	yes
25271	N-Ethylaniline	estrone	yes
23927	p-Bromodiphenyl ether	hydroxyprogesteroneesterone	no
23927	p-Bromodiphenyl ether	estradiol	yes
23927	p-Bromodiphenyl ether	estrone	yes
34181	Raloxifene hydrochloride	deoxycortisol	no
34181	Raloxifene hydrochloride	hydroxyprogesteroneesterone	no
34181	Raloxifene hydrochloride	androsteinedione	no
34181	Raloxifene hydrochloride	cortisol	no
34181	Raloxifene hydrochloride	deoxycortisone	no
34181	Raloxifene hydrochloride	testosterone	no
20498	Dimethyl terephthalate	cortisol	yes
20498	Dimethyl terephthalate	estradiol	yes
20498	Dimethyl terephthalate	estrone	yes
22381	meso-Hexestrol	estradiol	yes
47246	Darbufelone mesylate	hydroxyprogesteroneesterone	yes
47246	Darbufelone mesylate	androsteinedione	no
47246	Darbufelone mesylate	cortisol	yes
47246	Darbufelone mesylate	deoxycortisone	yes
47246	Darbufelone mesylate	progesterone	yes
20604	4-Vinyl-1-cyclohexene dioxide	estradiol	yes
47429	Dexamethasone sodium phosphate	hydroxyprogesteroneesterone	no
47429	Dexamethasone sodium phosphate	androsteinedione	no
47429	Dexamethasone sodium phosphate	cortisol	yes
47429	Dexamethasone sodium phosphate	deoxycortisone	yes
47429	Dexamethasone sodium phosphate	progesterone	yes
47429	Dexamethasone sodium phosphate	testosterone	no
20784	Lovastatin	deoxycortisol	no
20784	Lovastatin	hydroxyprogesteroneesterone	no
20784	Lovastatin	androsteinedione	no
20784	Lovastatin	cortisol	no
20784	Lovastatin	testosterone	no
22522	Diisobutyl phthalate	estradiol	yes
22522	Diisobutyl phthalate	estrone	yes
47339	SR144190	estradiol	yes
47339	SR144190	estrone	yes
26792	3-Methylaniline	hydroxyprogesteroneesterone	yes
26792	3-Methylaniline	cortisol	yes
26792	3-Methylaniline	estradiol	yes
26792	3-Methylaniline	estrone	yes
26792	3-Methylaniline	testosterone	yes
27050	Sodium dimethyldithiocarbamate	hydroxyprogesteroneesterone	yes
27050	Sodium dimethyldithiocarbamate	estrone	no
27050	Sodium dimethyldithiocarbamate	progesterone	yes
27050	Sodium dimethyldithiocarbamate	testosterone	yes
26926	1-Tetradecanol	estradiol	yes
26926	1-Tetradecanol	estrone	yes
47263	PharmaGSID_47263	hydroxypregnenolone	yes
47263	PharmaGSID_47263	hydroxyprogesteroneesterone	yes
47263	PharmaGSID_47263	androsteinedione	yes
47263	PharmaGSID_47263	deoxycortisone	no
47263	PharmaGSID_47263	estradiol	yes
47263	PharmaGSID_47263	estrone	yes
47263	PharmaGSID_47263	testosterone	yes
21272	Sodium chlorite	estradiol	yes
21272	Sodium chlorite	estrone	yes
48506	PharmaGSID_48506	hydroxyprogesteroneesterone	yes
48506	PharmaGSID_48506	deoxycortisone	no
21928	2-Ethoxyethyl acetate	cortisol	yes
21928	2-Ethoxyethyl acetate	estradiol	yes
21928	2-Ethoxyethyl acetate	estrone	yes
47306	CP-634384	hydroxyprogesteroneesterone	yes
47306	CP-634384	androsteinedione	no
47306	CP-634384	deoxycortisone	yes
47306	CP-634384	estradiol	yes
47306	CP-634384	estrone	yes
47306	CP-634384	progesterone	yes
47342	SR125047	deoxycortisol	no
47342	SR125047	hydroxyprogesteroneesterone	no
47342	SR125047	androsteinedione	no
47342	SR125047	cortisol	no
47342	SR125047	testosterone	no
24062	"3,4-Dimethylphenol"	hydroxyprogesteroneesterone	yes
24062	"3,4-Dimethylphenol"	cortisol	yes
24062	"3,4-Dimethylphenol"	deoxycortisone	yes
24062	"3,4-Dimethylphenol"	estradiol	yes
24062	"3,4-Dimethylphenol"	estrone	yes
24062	"3,4-Dimethylphenol"	progesterone	yes
24062	"3,4-Dimethylphenol"	testosterone	yes
48505	PharmaGSID_48505	estradiol	no
48505	PharmaGSID_48505	estrone	no
24836	"3,7-Dimethyl-2,6-octadienal"	androsteinedione	no
24836	"3,7-Dimethyl-2,6-octadienal"	cortisol	no
25091	"3,3'-Dimethoxybenzidine"	hydroxypregnenolone	no
25091	"3,3'-Dimethoxybenzidine"	hydroxyprogesteroneesterone	yes
25091	"3,3'-Dimethoxybenzidine"	androsteinedione	no
25091	"3,3'-Dimethoxybenzidine"	cortisol	no
25091	"3,3'-Dimethoxybenzidine"	deoxycortisone	yes
25091	"3,3'-Dimethoxybenzidine"	estradiol	yes
25091	"3,3'-Dimethoxybenzidine"	estrone	yes
25091	"3,3'-Dimethoxybenzidine"	progesterone	yes
25091	"3,3'-Dimethoxybenzidine"	testosterone	no
48512	Ro 23-7637	cortisol	no
48512	Ro 23-7637	deoxycortisone	no
24086	Ethion	deoxycortisol	no
24086	Ethion	hydroxyprogesteroneesterone	yes
24086	Ethion	androsteinedione	no
24086	Ethion	deoxycortisone	no
24086	Ethion	estradiol	yes
24086	Ethion	progesterone	yes
24086	Ethion	testosterone	no
47358	Nelivaptan	hydroxypregnenolone	yes
47358	Nelivaptan	hydroxyprogesteroneesterone	yes
47358	Nelivaptan	progesterone	yes
41306	"2,2',4,4'-Tetrahydroxybenzophenone"	hydroxyprogesteroneesterone	yes
41306	"2,2',4,4'-Tetrahydroxybenzophenone"	progesterone	yes
22413	Isoeugenol	hydroxyprogesteroneesterone	yes
22413	Isoeugenol	androsteinedione	no
22413	Isoeugenol	cortisol	yes
22413	Isoeugenol	deoxycortisone	yes
22413	Isoeugenol	estradiol	yes
22413	Isoeugenol	estrone	yes
22413	Isoeugenol	progesterone	yes
22413	Isoeugenol	testosterone	no
25881	"1,2-Phenylenediamine"	hydroxypregnenolone	yes
25881	"1,2-Phenylenediamine"	hydroxyprogesteroneesterone	yes
25881	"1,2-Phenylenediamine"	progesterone	yes
47363	Volinanserin	deoxycortisol	no
47363	Volinanserin	hydroxyprogesteroneesterone	no
47363	Volinanserin	androsteinedione	no
47363	Volinanserin	cortisol	no
47363	Volinanserin	deoxycortisone	no
47363	Volinanserin	testosterone	no
20867	"4,4'-Methylenebis(2-methylaniline)"	deoxycortisol	no
20867	"4,4'-Methylenebis(2-methylaniline)"	hydroxyprogesteroneesterone	yes
20867	"4,4'-Methylenebis(2-methylaniline)"	androsteinedione	no
20867	"4,4'-Methylenebis(2-methylaniline)"	cortisol	no
20867	"4,4'-Methylenebis(2-methylaniline)"	deoxycortisone	yes
20867	"4,4'-Methylenebis(2-methylaniline)"	estradiol	no
20867	"4,4'-Methylenebis(2-methylaniline)"	estrone	no
20867	"4,4'-Methylenebis(2-methylaniline)"	progesterone	yes
20867	"4,4'-Methylenebis(2-methylaniline)"	testosterone	no
21834	4-Nitrophenol	hydroxyprogesteroneesterone	yes
21834	4-Nitrophenol	estradiol	yes
21834	4-Nitrophenol	estrone	yes
21834	4-Nitrophenol	progesterone	yes
20152	Benzyl alcohol	estradiol	yes
20152	Benzyl alcohol	estrone	yes
21378	Trichloroacetic acid	cortisol	yes
21378	Trichloroacetic acid	estradiol	yes
24538	Anthralin	hydroxyprogesteroneesterone	no
24538	Anthralin	estradiol	no
24538	Anthralin	estrone	no
24538	Anthralin	testosterone	no
37752	Diphenyl isophthalate	hydroxypregnenolone	yes
37752	Diphenyl isophthalate	estradiol	yes
37752	Diphenyl isophthalate	estrone	yes
20895	Mirex	hydroxyprogesteroneesterone	no
20895	Mirex	estradiol	yes
37706	PFOS-K	cortisol	yes
37706	PFOS-K	estrone	yes
21094	"4,4'-Oxydianiline"	hydroxyprogesteroneesterone	yes
21094	"4,4'-Oxydianiline"	androsteinedione	no
21094	"4,4'-Oxydianiline"	cortisol	no
21094	"4,4'-Oxydianiline"	deoxycortisone	yes
21094	"4,4'-Oxydianiline"	estradiol	no
21094	"4,4'-Oxydianiline"	estrone	no
21094	"4,4'-Oxydianiline"	progesterone	yes
21094	"4,4'-Oxydianiline"	testosterone	no
41623	Benodanil	deoxycortisol	no
41623	Benodanil	hydroxypregnenolone	no
41623	Benodanil	hydroxyprogesteroneesterone	no
41623	Benodanil	deoxycortisone	no
41623	Benodanil	estradiol	yes
41623	Benodanil	estrone	yes
21544	2-Chlorophenol	cortisol	yes
21544	2-Chlorophenol	estradiol	yes
24052	Dimethipin	deoxycortisone	yes
24052	Dimethipin	progesterone	yes
24052	Dimethipin	testosterone	yes
32493	Triadimenol	deoxycortisol	no
32493	Triadimenol	hydroxyprogesteroneesterone	no
32493	Triadimenol	androsteinedione	no
32493	Triadimenol	cortisol	no
32493	Triadimenol	deoxycortisone	no
32493	Triadimenol	estrone	no
32493	Triadimenol	testosterone	no
20205	Butyl benzyl phthalate	estradiol	no
20205	Butyl benzyl phthalate	estrone	yes
23819	Stavudine	progesterone	yes
21993	Dibenzofuran	estrone	yes
47311	GSK163929B	deoxycortisol	no
47311	GSK163929B	hydroxyprogesteroneesterone	no
47311	GSK163929B	androsteinedione	no
47311	GSK163929B	cortisol	no
47311	GSK163929B	deoxycortisone	no
47311	GSK163929B	estradiol	yes
47311	GSK163929B	estrone	no
34287	5-Heptyldihydro-2(3H)-furanone	hydroxyprogesteroneesterone	yes
34287	5-Heptyldihydro-2(3H)-furanone	estrone	yes
34287	5-Heptyldihydro-2(3H)-furanone	progesterone	yes
23878	Anthracene	cortisol	yes
23878	Anthracene	estradiol	yes
23878	Anthracene	estrone	yes
32113	Tebuconazole	hydroxyprogesteroneesterone	no
32113	Tebuconazole	androsteinedione	no
32113	Tebuconazole	cortisol	no
